"","x"
"943","Zbtb16"
"944","Adap2"
"945","Papss2"
"946","Per2"
"947","Pgf"
"948","Ier3"
"949","Memo1"
"950","Ctsc"
"951","Prg4"
"952","Strn3"
"953","Vwa1"
"954","Bpgm"
"955","Adh1"
"956","Cyr61"
"957","Actr3b"
"958","Pcmtd1"
"959","Cyb561"
"960","Nhlrc1"
"961","Abcd2"
"962","Tmem8"
"963","Gm14421"
"964","Dffa"
"965","Atg4d"
"966","Gpd1l"
"967","Six4"
"968","Gnpat,Trim67"
"969","Esrrb"
"970","A930018M24Rik"
"971","Psmb9"
"972","Paqr9"
"973","Qrsl1"
"974","Sgcg"
"975","Gm10221"
"976","Acacb"
"977","Gm5884"
"978","Emp3"
"979","Timm23"
"980","Angpt1"
"981","Dexi"
"982","Camsap1"
"983","Spr"
"984","Fabp3-ps1"
"985","Prkag1"
"986","Gcom1,Myzap,Polr2m"
"987","0610037P05Rik"
"988","Pla1a"
"989","Gm13340"
"990","Smap2"
"991","Lyrm5"
"992","Isg20"
"993","Gm4149"
"994","Prnd,Prnp"
"995","Atp6ap1"
"996","Auh"
"997","Wisp2"
"998","Pank4"
"999","Kpna2"
"1000","Gmnn"
"1001","Dnajc21"
"1002","D2Wsu81e"
"1003","Atp5f1"
"1004","Gm14493"
"1005","Mtm1"
"1006","Rock2"
"1007","Cd68"
"1008","Gm10031"
"1009","Gm15285"
"1010","Fam19a5"
"1011","B3gnt3"
"1012","Emr1"
"1013","Fbxo8"
"1014","Slc22a5"
"1015","Synj2"
"1016","Cd55"
"1017","Irf1"
"1018","Nudt13"
"1019","Csf1r"
"1020","Gm12185,Tgtp1"
"1021","Il33"
"1022","Atp5g3"
"1023","Fbxo3"
"1024","Dock8"
"1025","Tmprss13"
"1026","B3gnt1"
"1027","Mmrn1"
"1028","Aga"
"1029","Gm10291"
"1030","Mdh1"
"1031","Dsc2"
"1032","Sqrdl"
"1033","Mpst"
"1034","Gbp7"
"1035","Myh11"
"1036","Sult1a1"
"1037","Mrps16"
"1038","Rrp12"
"1039","Rbp7"
"1040","Gm14494"
"1041","2810474O19Rik"
"1042","Gm16439"
"1043","Myadml2"
"1044","3110057O12Rik"
"1045","C1s,Gm5077"
"1046","Rbm38"
"1047","Fcrls"
"1048","Fam117b"
"1049","Galm"
"1050","Gm9781"
"1051","Lrrn4cl"
"1052","Mrpl1"
"1053","Ttyh1"
"1054","Rpl35a-ps2"
"1055","Txn2"
"1056","Vps13a"
"1057","Ntng2"
"1058","Gfra4"
"1059","Tfdp2"
"1060","Gm11235"
"1061","Zfp36"
