"","x"
"796","Ppp4r1l-ps"
"797","Zmat3"
"798","Prdm16"
"799","Apold1"
"800","Lpgat1"
"801","Zfp608"
"802","Myh7b"
"803","Rasa2"
"804","1700052N19Rik"
"805","Brip1"
"806","Mrps28"
"807","Fut10"
"808","Mbd6"
"809","Nkd2"
"810","Susd4"
"811","Slc35f1"
"812","Igf2bp1"
"813","Lonp1"
"814","Clspn"
"815","Pan3"
"816","Mkl1"
"817","Gatad2a"
"818","Slit3"
"819","Zfp825"
"820","Cenpt"
"821","Hmcn1"
"822","Adamts14"
"823","Nt5c"
"824","H3f3b"
"825","Srgap3"
"826","Gdf11"
"827","Kif20b"
"828","Sri"
"829","Cd24a"
"830","Zfp395"
"831","Wtip"
"832","Nav2"
"833","Catsperg1"
"834","Hs6st2"
"835","Ift46"
"836","Fam122b"
"837","Acot2"
"838","Zcchc5"
"839","Slc40a1"
"840","Rai14"
"841","Nckap5l"
"842","Ehmt1"
"843","Ubqln4"
"844","Ctxn1"
"845","Rbpms"
"846","Csgalnact1"
"847","Hddc2"
"848","Gm12295"
"849","Gjc1"
"850","Wdtc1"
"851","Spp1"
"852","Tcf21"
"853","Ppp1r37"
"854","Gm16515"
"855","Sema5a"
"856","Fam32a"
"857","Fkbp10"
"858","Trip13"
"859","Mmp12"
"860","Aldh1a2"
"861","G2e3"
"862","Scarb1"
"863","Clasrp"
"864","Exoc6b"
"865","Bicc1"
"866","Prr11"
"867","C630004H02Rik"
"868","Evi5"
"869","Zfp423"
"870","Tmem194b"
"871","Aldoc"
"872","BC046404"
"873","5330411J11Rik"
"874","Syngap1"
"875","St6galnac3"
"876","Cenpi"
"877","Trappc10"
"878","Sord"
"879","Gnb4"
"880","Plk4"
"881","9430015G10Rik"
"882","Nxn"
"883","Ywhaz"
"884","Sytl2"
"885","C80913"
"886","Hic2"
"887","Melk"
"888","Zcchc11"
"889","Gria3"
"890","Npm1"
"891","Rgs7bp"
"892","0610009O20Rik"
"893","Stxbp1"
"894","Eftud1"
"895","Fem1b"
"896","Cdca7l"
"897","Tulp1"
"898","N4bp2"
"899","Snd1"
"900","Nck2"
"901","Serf1"
"902","Pld1"
"903","Dna2"
"904","Samd14"
"905","B4galt2,Ccdc24"
"906","Cct6a"
"907","Slc12a7"
"908","Ppp1r1a"
"909","Maml3"
"910","Myc"
"911","Gal3st4,Gpc2"
"912","Bard1"
"913","Rtn4"
"914","Birc5"
"915","Arhgap32"
"916","Lcp2"
"917","Six2"
"918","Coq7"
"919","Spats2l"
"920","Insig1"
"921","Sox5"
"922","Zfp275"
"923","Hist3h2a,Trim17"
"924","Xkr6"
"925","Fzd8"
"926","March3"
"927","Atg7"
"928","Slc25a20"
"929","Tmem35"
"930","Nsl1"
"931","Rpl27-ps2"
"932","Gm12110"
"933","Gm12308"
"934","Gm11619"
"935","Gm4825"
"936","Gm10237"
"937","D17Wsu92e"
"938","Abcg2"
"939","C1qtnf6"
"940","Cpne5"
"941","Prrg4"
"942","Whsc1"
"943","Pdrg1"
"944","Ctcfl"
"945","Hdgfrp3"
